iter	Passed	Remaining
0	2	2859
1	4	2268
2	6	2151
3	9	2283
4	11	2208
5	12	2153
6	15	2133
7	16	2101
8	18	2081
9	20	2048
10	22	2063
11	25	2058
12	26	2028
13	28	2014
14	30	2008
15	32	2002
16	35	2025
17	38	2082
18	39	2062
19	41	2048
20	43	2034
21	45	2017
22	47	2014
23	49	1996
24	51	2023
25	53	2020
26	55	2015
27	57	2002
28	60	2009
29	61	2004
30	63	1999
31	65	1996
32	67	1987
33	69	1981
34	71	1979
35	73	1975
36	76	1979
37	78	1977
38	80	1977
39	82	1977
40	83	1962
41	85	1951
42	87	1940
43	88	1933
44	91	1940
45	94	1951
46	96	1965
47	99	1968
48	101	1962
49	103	1959
50	106	1974
51	108	1977
52	110	1970
53	112	1967
54	114	1971
55	116	1960
56	118	1953
57	119	1948
58	121	1945
59	123	1941
60	125	1931
61	128	1936
62	130	1937
63	132	1936
64	134	1936
65	136	1936
66	138	1935
67	140	1926
68	142	1921
69	144	1917
70	146	1917
71	148	1916
72	150	1910
73	152	1905
74	154	1902
75	156	1898
76	157	1893
77	159	1887
78	161	1884
79	163	1882
80	165	1883
81	168	1881
82	170	1879
83	172	1880
84	174	1875
85	176	1871
86	178	1874
87	180	1871
88	182	1872
89	185	1872
90	187	1871
91	189	1866
92	190	1858
93	192	1858
94	194	1855
95	196	1853
96	198	1847
97	200	1843
98	202	1839
99	203	1833
100	205	1830
101	207	1825
102	209	1821
103	210	1816
104	212	1810
105	214	1807
106	215	1800
107	217	1797
108	219	1792
109	220	1788
110	222	1784
111	224	1779
112	226	1775
113	228	1775
114	230	1772
115	231	1767
116	233	1765
117	235	1762
118	238	1762
119	239	1757
120	241	1755
121	243	1753
122	245	1752
123	247	1748
124	249	1745
125	251	1742
126	253	1740
127	254	1736
128	257	1736
129	259	1734
130	261	1732
131	263	1729
132	264	1726
133	268	1733
134	270	1730
135	271	1727
136	273	1725
137	276	1724
138	277	1721
139	279	1718
140	281	1715
141	283	1712
142	285	1709
143	287	1706
144	288	1702
145	290	1700
146	292	1699
147	294	1696
148	296	1693
149	298	1690
150	300	1690
151	302	1687
152	304	1683
153	306	1681
154	307	1677
155	309	1674
156	311	1671
157	312	1667
158	314	1663
159	316	1660
160	318	1659
161	320	1657
162	322	1655
163	324	1652
164	326	1650
165	327	1647
166	329	1644
167	331	1642
168	333	1639
169	335	1636
170	336	1633
171	338	1630
172	340	1627
173	342	1625
174	343	1620
175	345	1616
176	347	1614
177	348	1611
178	350	1609
179	352	1606
180	354	1603
181	355	1599
182	357	1597
183	359	1596
184	361	1593
185	363	1589
186	365	1587
187	367	1585
188	369	1584
189	370	1580
190	372	1577
191	374	1574
192	376	1572
193	378	1570
194	381	1575
195	383	1572
196	391	1597
197	394	1597
198	396	1597
199	399	1597
200	401	1596
201	404	1596
202	406	1597
203	409	1597
204	411	1596
205	413	1595
206	416	1594
207	418	1593
208	421	1594
209	423	1594
210	426	1593
211	430	1601
212	436	1613
213	438	1611
214	441	1612
215	443	1610
216	445	1607
217	448	1607
218	450	1607
219	453	1606
220	458	1614
221	460	1614
222	463	1614
223	466	1616
224	469	1616
225	472	1616
226	474	1616
227	477	1615
228	482	1624
229	486	1627
230	490	1633
231	494	1636
232	517	1702
233	562	1840
234	564	1838
235	567	1837
236	569	1833
237	571	1830
238	573	1827
239	575	1823
240	578	1820
241	580	1819
242	582	1815
243	585	1813
244	587	1811
245	590	1808
246	592	1806
247	595	1804
248	597	1801
249	599	1797
250	602	1796
251	604	1793
252	609	1800
253	612	1798
254	614	1794
255	616	1792
256	618	1788
257	621	1786
258	623	1783
259	625	1781
260	627	1777
261	630	1776
262	634	1777
263	636	1775
264	640	1777
265	643	1776
266	648	1780
267	654	1788
268	657	1787
269	660	1785
270	662	1781
271	664	1778
272	666	1775
273	668	1771
274	670	1768
275	673	1766
276	676	1764
277	677	1760
278	680	1758
279	682	1754
280	684	1751
281	686	1748
282	689	1746
283	691	1743
284	694	1742
285	697	1740
286	699	1737
287	701	1735
288	707	1740
289	709	1737
290	713	1737
291	716	1736
292	729	1759
293	731	1755
294	733	1752
295	736	1750
296	738	1747
297	740	1744
298	743	1741
299	745	1739
300	747	1735
301	749	1731
302	751	1728
303	753	1725
304	755	1722
305	757	1718
306	760	1716
307	762	1712
308	765	1711
309	768	1709
310	773	1713
311	780	1720
312	782	1718
313	785	1716
314	787	1713
315	791	1713
316	793	1710
317	796	1708
318	798	1704
319	800	1701
320	802	1697
321	805	1696
322	807	1692
323	809	1688
324	812	1686
325	814	1683
326	816	1680
327	818	1676
328	820	1673
329	823	1671
330	826	1671
331	829	1668
332	831	1665
333	833	1661
334	835	1657
335	836	1653
336	838	1650
337	841	1647
338	843	1644
339	853	1656
340	855	1653
341	857	1649
342	860	1648
343	862	1645
344	865	1643
345	868	1642
346	871	1640
347	879	1647
348	884	1649
349	886	1646
350	888	1643
351	893	1645
352	896	1642
353	897	1637
354	900	1635
355	902	1633
356	905	1631
357	911	1635
358	914	1633
359	916	1630
360	919	1628
361	922	1626
362	924	1622
363	927	1619
364	929	1617
365	931	1613
366	933	1610
367	935	1606
368	938	1604
369	940	1601
370	942	1598
371	944	1594
372	947	1592
373	949	1590
374	952	1587
375	954	1584
376	957	1583
377	961	1582
378	964	1581
379	966	1577
380	969	1575
381	973	1574
382	975	1570
383	976	1567
384	978	1563
385	984	1565
386	987	1564
387	989	1561
388	991	1557
389	1004	1571
390	1006	1568
391	1008	1564
392	1010	1560
393	1013	1558
394	1014	1554
395	1017	1552
396	1019	1549
397	1021	1545
398	1023	1541
399	1025	1537
400	1027	1534
401	1029	1530
402	1030	1527
403	1032	1523
404	1035	1521
405	1037	1517
406	1038	1513
407	1044	1515
408	1046	1511
409	1047	1507
410	1049	1504
411	1051	1500
412	1058	1505
413	1061	1502
414	1063	1499
415	1068	1499
416	1071	1497
417	1073	1494
418	1076	1492
419	1077	1488
420	1080	1485
421	1083	1483
422	1085	1481
423	1088	1478
424	1100	1489
425	1103	1486
426	1105	1483
427	1109	1482
428	1113	1481
429	1125	1492
430	1128	1489
431	1131	1487
432	1133	1484
433	1136	1482
434	1139	1480
435	1142	1478
436	1145	1475
437	1150	1476
438	1152	1472
439	1154	1469
440	1155	1465
441	1159	1463
442	1161	1460
443	1164	1458
444	1166	1455
445	1168	1451
446	1170	1447
447	1172	1444
448	1174	1441
449	1176	1437
450	1189	1447
451	1192	1445
452	1195	1443
453	1198	1441
454	1202	1440
455	1207	1440
456	1210	1438
457	1212	1435
458	1215	1432
459	1218	1430
460	1221	1427
461	1223	1425
462	1226	1422
463	1240	1432
464	1242	1429
465	1245	1427
466	1249	1425
467	1252	1423
468	1253	1419
469	1255	1416
470	1257	1412
471	1269	1420
